id,numero,setorId,status,motivoBloqueio
bed-uti-01,Leito UTI 01,sec-uti,OCUPADO,
bed-uti-02,Leito UTI 02,sec-uti,OCUPADO,
bed-uti-03,Leito UTI 03,sec-uti,OCUPADO,
bed-uti-04,Leito UTI 04,sec-uti,OCUPADO,
bed-uti-05,Leito UTI 05,sec-uti,OCUPADO,
bed-uti-06,Leito UTI 06,sec-uti,OCUPADO,
bed-uti-07,Leito UTI 07,sec-uti,DESOCUPADO,
bed-uti-08,Leito UTI 08,sec-uti,OCUPADO,
bed-uti-09,Leito UTI 09,sec-uti,BLOQUEADO,Manutenção no ponto de vácuo
bed-uti-10,Leito UTI 10,sec-uti,DESOCUPADO,
bed-ps-01,Sala Vermelha 01,sec-ps,OCUPADO,
bed-ps-02,Sala Vermelha 02,sec-ps,OCUPADO,
bed-ps-03,Sala Vermelha 03,sec-ps,OCUPADO,
bed-ps-04,Sala Amarela 01,sec-ps,OCUPADO,
bed-ps-05,Sala Amarela 02,sec-ps,OCUPADO,
bed-ps-06,Sala Amarela 03,sec-ps,DESOCUPADO,
bed-med-101,Leito 101,sec-clinica-medica,OCUPADO,
bed-med-102,Leito 102,sec-clinica-medica,OCUPADO,
bed-med-103,Leito 103,sec-clinica-medica,DESOCUPADO,
bed-med-104,Leito 104,sec-clinica-medica,OCUPADO,
bed-cir-201,Leito 201,sec-clinica-cirurgica,OCUPADO,
bed-cir-202,Leito 202,sec-clinica-cirurgica,OCUPADO,
bed-cir-203,Leito 203,sec-clinica-cirurgica,DESOCUPADO
